Station code,Name of the Monitoring Location,State Name,Temperature 0 C_min,Temperature 0 C_max,Dissolved Oxygen mg L_min,Dissolved Oxygen mg L_MAX,pH6.5 MIN,pH6.5 MAX,Conductivity µmho cm MIN,conductivity µmho cm MAX,Bio-chemical Oxygen Demand mg L,Bio-chemical Oxygen Demand mg L MAX,Nitrate mg L MIN,Nitrate mgL MAX,Fecal Coliform MIN,Fecacal coliform MAX,Total Coliform MPN 100 mL MIN,Total Coliform MPN 100 mL2 MAX,Year,aquatic_score,water_type,pH_category
4451,RIVER       SUTLEJ       AFTER CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,7.5,14.0,8.7,9.4,6.83,8.39,86.0,1258.0,2.6251969852689276,5.892971727105102,0.32,3.14,4.0,70.0,6.8,1600.0,2022,3,Good,Neutral (6.5–8.5)
30009,RIVER SUTLEJ AT NANGAL (H.P.),HIMACHAL PRADESH,19.5,20.0,7.9,9.6,7.7,8.5,218.0,271.0,1.4,4.0,0.42,1.42,40.0,54000.0,110.0,206671.80172366623,2022,2,Moderate,Neutral (6.5–8.5)
1014,RIVER SUTLEJ U/S OF EXIT POINT  OF  DEHAR  POWER HOUSE,HIMACHAL PRADESH,10.0,28.0,9.0,9.7,7.76,8.47,126.0,285.0,1.2,1.2,0.32,1.4,31.0,84.0,210.0,350.0,2022,4,Excellent,Neutral (6.5–8.5)
1015,"RIVER SUTLEJ D/S OF EXIT
POINT  OF  DEHAR  POWER HOUSE",HIMACHAL PRADESH,10.0,28.0,8.8,9.7,7.86,8.34,137.0,300.0,2.6251969852689276,5.892971727105102,0.32,2.09,58.0,140.0,280.0,540.0,2022,3,Good,Neutral (6.5–8.5)
1016,RIVER          SUTLEJ          D/S BHAKHRA,HIMACHAL PRADESH,16.0,28.0,8.4,9.4,6.88,7.84,181.0,316.0,2.6251969852689276,5.892971727105102,0.7343646138807429,5.77,2.0,43.0,21.0,220.0,2022,3,Good,Neutral (6.5–8.5)
30087,"RIVER     SUTLEJ     U/S    AT OLINDA,    NEAR    BHAKRA DAM, H.P.",HIMACHAL PRADESH,18.0,21.0,8.5,10.7,8.0,8.3,218.0,249.0,3.0,3.0,0.32,0.42,220.0,3300.0,700.0,17000.0,2022,3,Good,Neutral (6.5–8.5)
30088,"RIVER SUTLEJ D/S OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,18.0,21.0,8.4,10.1,8.1,8.3,216.0,243.0,1.3,1.5,0.32,0.42,2.0,680.0,430.0,3300.0,2022,3,Good,Neutral (6.5–8.5)
30010,RIVER           SUTLEJ           AT NOORPUR      BEDI      ROAD (PUNJAB),PUNJAB,18.0,26.0,8.6,9.2,7.7,8.0,237.0,273.0,2.6251969852689276,5.892971727105102,0.42,0.92,110.0,2300.0,700.0,14000.0,2022,2,Moderate,Neutral (6.5–8.5)
1814,"RIVER     SUTLEJ     AT     D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,11.0,25.0,8.0,10.6,7.6,8.5,214.0,321.0,2.6251969852689276,5.892971727105102,1.2,1.8,92.0,250.0,410.0,790.0,2022,3,Good,Neutral (6.5–8.5)
2915,"RIVER  SUTLEJ  AT  100  MT. D/S    OF    PACL,    NANGAL, PUNJAB",PUNJAB,11.0,22.0,8.3,10.7,7.3,8.4,216.0,272.0,2.6251969852689276,5.892971727105102,1.3,1.7,20.0,140.0,140.0,390.0,2022,3,Good,Neutral (6.5–8.5)
